Country,City,Region,CostOfLiving_1 Bedroom Apartment Outside of City Centre,CostOfLiving_1 Bedroom Apartment in City Centre,CostOfLiving_3 Bedroom Apartment Outside of City Centre,CostOfLiving_3 Bedroom Apartment in City Centre,"CostOfLiving_Annual Mortgage Interest Rate (20-Year Fixed, in %)",CostOfLiving_Apples (1 lb),CostOfLiving_Average Monthly Net Salary (After Tax),CostOfLiving_Bananas (1 lb),"CostOfLiving_Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",CostOfLiving_Beef Round or Equivalent Back Leg Red Meat (1 lb),CostOfLiving_Bottle of Wine (Mid-Range),CostOfLiving_Bottled Water (12 oz),CostOfLiving_Bottled Water (50 oz),"CostOfLiving_Broadband Internet (Unlimited Data, 60 Mbps or Higher)",CostOfLiving_Cappuccino (Regular Size),CostOfLiving_Chicken Fillets (1 lb),"CostOfLiving_Cigarettes (Pack of 20, Marlboro)",CostOfLiving_Cinema Ticket (International Release),CostOfLiving_Combo Meal at McDonald's (or Equivalent Fast-Food Meal),CostOfLiving_Domestic Beer (16.9 oz Bottle),CostOfLiving_Domestic Draft Beer (1 Pint),"CostOfLiving_Eggs (12, Large Size)",CostOfLiving_Fresh White Bread (1 lb Loaf),CostOfLiving_Gasoline (1 Liter),CostOfLiving_Imported Beer (12 oz Small Bottle),"CostOfLiving_International Primary School, Annual Tuition per Child",CostOfLiving_Jeans (Levi's 501 or Similar),CostOfLiving_Lettuce (1 Head),CostOfLiving_Local Cheese (1 lb),CostOfLiving_Meal at an Inexpensive Restaurant,"CostOfLiving_Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",CostOfLiving_Men's Leather Business Shoes,"CostOfLiving_Milk (Regular, 1 Liter)","CostOfLiving_Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",CostOfLiving_Monthly Fitness Club Membership,CostOfLiving_Monthly Public Transport Pass (Regular Price),CostOfLiving_Nike Running Shoes (Mid-Range),CostOfLiving_One-Way Ticket (Local Transport),CostOfLiving_Onions (1 lb),CostOfLiving_Oranges (1 lb),CostOfLiving_Potatoes (1 lb),CostOfLiving_Price per Square Feet to Buy Apartment Outside of Centre,CostOfLiving_Price per Square Feet to Buy Apartment in City Centre,"CostOfLiving_Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","CostOfLiving_Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",CostOfLiving_Summer Dress in a Chain Store (e.g. Zara or H&M),CostOfLiving_Taxi 1 Hour Waiting (Standard Tariff),CostOfLiving_Taxi 1 mile (Standard Tariff),CostOfLiving_Taxi Start (Standard Tariff),"CostOfLiving_Tennis Court Rental (1 Hour, Weekend)",CostOfLiving_Tomatoes (1 lb),CostOfLiving_Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),CostOfLiving_Volkswagen Golf 1.5 (or Equivalent New Compact Car),CostOfLiving_White Rice (1 lb),SpeedTestMobile_Rank,SpeedTestMobile_Rank Delta,SpeedTestMobile_Mbps,LPI2023_LPI Score,LPI2023_LPI Grouped Rank,LPI2023_Customs Score,LPI2023_Customs Grouped Rank,LPI2023_Infrastructure Score,LPI2023_Infrastructure Grouped Rank,LPI2023_International Shipments Score,LPI2023_International Shipments Grouped Rank,LPI2023_Logistics Competence and Quality Score,LPI2023_Logistics Competence and Quality Grouped Rank,LPI2023_Timeliness Score,LPI2023_Timeliness Grouped Rank,LPI2023_Tracking and Tracing Score,LPI2023_Tracking and Tracing Grouped Rank,SpeedTestBroadband_Rank,SpeedTestBroadband_Rank Change,SpeedTestBroadband_Mbps,GPI_rank,GPI_score ,CostOfLiving_1 Bedroom Apartment in City Centre_Scaled,GPI_score _Scaled,LPI2023_LPI Score_Scaled,Rent_Inverted,Safety_Inverted,Arbitrage_Score,US_Tax_Treaty,Digital_Nomad_Visa
Spain,Madrid,Western & Southern Europe,1151.39,1509.9,1812.81,2736.68,3.64,1.23,2636.05,1.07,201.07,8.3,8.15,2.04,0.9,34.09,2.95,4.05,6.98,11.64,11.64,1.4,4.07,3.75,1.36,1.83,3.505,17445.42,99.02,1.37,7.74,17.46,69.85,114.96,1.27,18.66,51.7,40.75,101.72,1.75,0.99,1.2,0.92,413.24,797.29,688.59,3.12,39.07,29.1,2.43,4.07,16.47,1.26,33250.08,36670.55,0.83,51.0,-2,94.11,3.9,13.0,3.6,20.0,3.8,19.0,3.7,8.0,3.9,14.0,4.2,4.0,4.1,11.0,14.0,-,274.21,25.0,1.578,1.1875297120124106,-0.3222535211267605,0.9600000000000002,-1.1875297120124106,0.3222535211267605,-0.2185611805796121,Yes,Yes
Brazil,Florianopolis,Latin America,419.46,582.54,861.89,1134.48,2.09,1.08,778.02,0.57,67.95,3.75,7.65,0.88,0.8,20.55,2.09,1.67,2.63,8.28,7.17,1.41,2.29,2.47,1.37,1.23,2.88,10633.37,67.49,0.78,3.9,7.65,46.85,65.2,0.97,13.74,35.31,79.16,101.7,1.32,0.48,0.62,0.49,162.09,258.19,656.92,1.18,66.48,11.47,2.46,1.53,18.87,0.73,31612.62,22732.31,0.63,6.0,-,264.39,3.2,51.0,2.9,56.0,3.2,47.0,2.9,68.0,3.3,46.0,3.5,46.0,3.2,54.0,25.0,1,222.3,130.0,2.472,-0.359346460830185,1.6923943661971823,-0.1599999999999994,0.359346460830185,-1.6923943661971823,-0.2267402889073623,Yes,Yes
Brazil,Sao Paulo,Latin America,481.58,670.84,927.52,1487.8,2.29,1.24,793.73,0.82,86.1,4.68,9.56,0.87,0.81,20.15,2.15,2.25,2.72,9.56,7.65,1.47,2.29,2.85,1.71,1.15,3.03,16758.35,63.73,1.24,5.61,8.6,42.07,87.75,1.13,16.25,38.06,46.46,98.47,0.99,0.54,0.74,0.62,202.61,263.61,492.71,1.27,53.03,9.75,1.31,1.16,38.03,0.88,32367.01,22944.55,0.63,6.0,-,264.39,3.2,51.0,2.9,56.0,3.2,47.0,2.9,68.0,3.3,46.0,3.5,46.0,3.2,54.0,25.0,1,222.3,130.0,2.472,-0.2120582814155011,1.6923943661971823,-0.1599999999999994,0.2120582814155011,-1.6923943661971823,-0.2856555606732359,Yes,Yes
South Africa,Cape Town,Middle East & Africa,638.24,997.38,1206.92,1707.11,0.69,0.82,1678.41,0.8,133.31,3.76,6.43,1.04,1.15,38.09,2.39,2.73,3.37,8.41,5.57,1.45,3.06,2.88,1.08,1.32,2.845,5210.41,58.33,1.25,4.15,12.24,48.96,96.39,1.31,34.73,48.1,61.2,123.79,1.13,0.65,0.79,0.71,137.31,197.08,269.52,1.33,36.59,5.05,1.62,1.22,10.36,0.86,29653.11,36046.51,1.0,65.0,-1,65.91,3.7,19.0,3.3,31.0,3.6,30.0,3.6,14.0,3.8,20.0,3.8,25.0,3.8,23.0,111.0,4,48.39,124.0,2.347,0.3326244151424926,1.410704225352112,0.6400000000000006,-0.3326244151424926,-1.410704225352112,-0.2871906111274193,Yes,Yes
Italy,Rome,Western & Southern Europe,974.97,1460.77,1814.12,2785.91,3.81,1.23,2175.13,1.07,219.69,9.31,5.82,1.49,0.51,32.13,2.27,5.33,7.22,11.64,11.64,1.71,5.82,4.68,1.91,1.98,4.92,13401.94,78.16,1.39,8.6,18.04,75.67,122.24,1.91,11.56,71.47,40.75,81.85,1.75,0.9,1.15,0.8,346.81,831.94,556.48,2.71,37.87,34.92,2.81,5.82,23.97,1.14,32967.67,30267.75,1.41,53.0,-3,91.21,3.7,19.0,3.4,24.0,3.8,19.0,3.4,26.0,3.8,20.0,3.9,21.0,3.9,20.0,58.0,2,113.34,33.0,1.662,1.105578769151217,-0.1329577464788735,0.6400000000000006,-1.105578769151217,0.1329577464788735,-0.287639958364712,Yes,Yes
Spain,Barcelona,Western & Southern Europe,1251.94,1644.33,1895.23,2499.15,3.62,1.4,2480.0,1.04,186.44,8.92,6.98,1.92,0.88,38.51,2.97,4.11,7.12,11.64,13.97,1.4,4.66,4.21,1.7,1.77,3.62,16238.03,83.68,1.57,7.56,18.04,69.85,117.33,1.25,20.16,56.02,26.54,105.49,3.08,0.88,1.04,0.92,449.6,641.99,767.68,2.68,38.08,34.87,3.49,3.49,21.09,1.32,32130.38,36670.55,0.87,51.0,-2,94.11,3.9,13.0,3.6,20.0,3.8,19.0,3.7,8.0,3.9,14.0,4.2,4.0,4.1,11.0,14.0,-,274.21,25.0,1.578,1.411764705882353,-0.3222535211267605,0.9600000000000002,-1.411764705882353,0.3222535211267605,-0.3082551781275892,Yes,Yes
Serbia,Belgrade,Eastern Europe & The Balkans,598.67,916.88,1199.46,1766.62,0.05,0.76,1192.21,0.95,222.93,6.53,8.42,2.26,0.71,35.48,2.92,3.48,4.66,8.04,11.89,0.93,3.53,2.76,0.89,1.87,2.8,10243.36,119.18,0.81,4.69,13.78,57.48,149.41,1.4,21.35,42.03,0.0,115.26,0.0,0.38,0.94,0.48,287.75,466.38,452.73,2.89,44.82,17.84,1.67,3.17,26.03,1.06,25982.6,31723.55,1.3,12.0,2,196.57,2.8,73.0,2.2,110.0,2.4,89.0,2.9,68.0,2.7,81.0,3.4,55.0,2.9,72.0,63.0,1,100.94,64.0,1.914,0.1983469695832395,0.4349295774647883,-0.8,-0.1983469695832395,-0.4349295774647883,-0.3263247033262535,Yes,Yes
Albania,Tirana,Eastern Europe & The Balkans,548.16,851.24,902.9,1416.93,0.07,0.87,821.33,1.19,126.08,7.28,10.27,1.15,0.79,19.96,2.16,3.88,4.71,9.66,10.87,1.72,3.02,4.08,1.09,2.19,3.195,6915.88,65.3,1.61,6.15,12.08,60.39,124.91,2.16,18.99,56.44,19.32,116.71,0.48,0.62,0.95,0.59,187.77,370.2,319.24,2.17,47.55,18.12,5.83,3.62,17.66,0.81,34273.09,34776.58,1.09,45.0,-,111.6,2.5,97.0,2.4,90.0,2.7,68.0,2.8,75.0,2.3,120.0,2.5,125.0,2.3,117.0,69.0,5,93.33,52.0,1.812,0.0888566400613839,0.2050704225352111,-1.2799999999999998,-0.0888566400613839,-0.2050704225352111,-0.3325567405315957,Yes,Yes
Portugal,Lisbon,Western & Southern Europe,1191.01,1591.66,1935.39,2979.15,4.09,0.97,1550.94,0.81,176.93,7.23,5.82,1.57,0.87,37.14,2.55,3.71,6.75,9.31,11.64,1.34,3.49,3.91,1.7,2.07,3.0650000000000004,16247.01,106.0,1.71,5.66,13.97,58.21,131.55,1.19,18.42,51.14,46.57,105.88,2.33,0.9,0.91,0.85,406.43,713.14,627.01,2.57,46.57,17.99,1.79,4.07,20.8,1.09,40006.48,34974.39,0.77,27.0,-4,148.26,3.4,38.0,3.2,37.0,3.6,30.0,3.1,47.0,3.6,33.0,3.6,35.0,3.2,54.0,21.0,-1,245.44,7.0,1.371,1.3239088915021564,-0.7887323943661972,0.1600000000000001,-1.3239088915021564,0.7887323943661972,-0.3398170777276231,Yes,Yes
Croatia,Dubrovnik,Western & Southern Europe,955.76,1525.03,1330.03,2080.91,4.41,0.77,1490.41,0.71,187.67,4.62,4.66,4.48,1.28,41.42,4.38,4.49,5.53,8.44,9.02,1.36,8.15,3.59,1.16,1.73,4.5600000000000005,7101.28,75.67,1.16,4.75,20.37,80.33,81.49,1.11,23.28,71.79,57.04,69.85,2.91,0.43,0.79,0.42,407.17,750.57,93.13,4.68,29.1,7.57,2.01,4.66,24.45,1.0,26080.71,34924.33,1.08,34.0,-1,135.5,3.3,43.0,3.0,47.0,3.0,55.0,3.6,14.0,3.4,42.0,3.2,65.0,3.4,41.0,53.0,4,132.79,19.0,1.519,1.212767199606342,-0.4552112676056341,0.0,-1.212767199606342,0.4552112676056341,-0.39406462632141,Yes,Yes
Colombia,Bogota,Latin America,396.35,542.54,794.36,935.3,0.0,1.42,500.0,0.54,90.52,3.63,11.43,0.66,0.87,28.8,1.96,2.57,3.27,5.28,7.92,1.19,1.45,2.35,1.43,1.1,2.23,8477.14,62.64,0.91,2.44,6.6,32.99,99.97,1.33,12.7,26.7,42.23,107.8,0.87,0.61,0.74,0.62,131.75,196.73,361.89,1.07,45.72,7.92,3.02,1.66,12.52,0.65,28077.89,18344.41,0.6,84.0,3,43.69,2.9,66.0,2.5,84.0,2.9,59.0,3.0,57.0,3.1,57.0,3.2,65.0,3.1,62.0,29.0,2,208.11,140.0,2.695,-0.426068172909317,2.194929577464788,-0.6399999999999999,0.426068172909317,-2.194929577464788,-0.3965586463292307,Yes,Yes
Colombia,Medellin,Latin America,436.21,622.57,804.69,1189.29,0.0,1.22,526.55,0.52,91.06,4.11,9.24,0.85,0.99,26.53,1.87,3.13,3.26,4.36,7.92,1.22,1.85,2.35,1.39,1.1,2.87,7276.65,71.2,0.9,2.32,6.6,34.31,107.79,1.14,11.14,29.08,65.46,117.27,0.92,0.52,0.71,0.58,120.66,273.75,594.57,1.27,40.28,6.99,2.82,1.45,16.59,0.67,29716.15,23224.82,0.67,84.0,3,43.69,2.9,66.0,2.5,84.0,2.9,59.0,3.0,57.0,3.1,57.0,3.2,65.0,3.1,62.0,29.0,2,208.11,140.0,2.695,-0.2925747074669936,2.194929577464788,-0.6399999999999999,0.2925747074669936,-2.194929577464788,-0.4499560325061601,Yes,Yes
Italy,Milan,Western & Southern Europe,1182.05,1719.76,2106.66,3576.25,3.57,1.3,2253.19,1.13,256.36,10.5,9.31,1.84,0.61,30.31,2.31,6.34,7.22,11.64,13.97,2.22,6.98,5.15,2.62,2.07,4.49,18480.49,111.21,2.08,9.71,23.28,101.86,172.91,1.8,11.41,86.48,45.4,113.47,2.56,1.04,1.57,1.19,478.56,1011.63,870.42,3.46,58.91,49.48,3.75,7.63,37.1,1.83,36961.58,37252.62,1.51,53.0,-3,91.21,3.7,19.0,3.4,24.0,3.8,19.0,3.4,26.0,3.8,20.0,3.9,21.0,3.9,20.0,58.0,2,113.34,33.0,1.662,1.5375851744355762,-0.1329577464788735,0.6400000000000006,-1.5375851744355762,0.1329577464788735,-0.4604425204784557,Yes,Yes
Panama,Panama City,Latin America,1011.07,1289.44,1538.24,2131.92,6.32,1.78,938.83,0.75,127.43,4.55,10.2,1.37,1.72,46.98,3.55,3.05,6.0,8.0,7.0,1.45,3.0,2.94,2.32,0.91,3.3,11716.92,49.38,2.28,4.93,10.0,50.0,127.86,1.86,30.58,44.09,21.0,89.38,0.35,1.72,1.49,1.11,161.22,289.64,500.0,1.7,50.0,22.0,2.96,2.5,40.47,1.46,20527.78,21262.0,1.25,94.0,1,34.53,3.1,57.0,3.0,47.0,3.3,44.0,3.1,47.0,3.0,61.0,3.4,55.0,2.9,72.0,27.0,6,214.96,84.0,2.006,0.8197929958882747,0.6422535211267597,-0.3199999999999995,-0.8197929958882747,-0.6422535211267597,-0.5203679025806618,Yes,Yes
Mexico,Guadalajara,Latin America,529.32,890.88,1042.02,1739.62,0.64,1.28,736.13,0.73,53.03,5.49,11.37,1.05,1.19,30.03,3.71,4.14,4.83,5.4,9.1,1.84,2.84,2.43,2.43,1.43,4.075,11545.39,60.17,1.43,4.66,11.37,44.06,87.11,1.61,24.13,29.96,31.84,118.35,0.57,0.93,0.98,0.89,186.5,297.53,260.56,1.54,45.0,12.51,2.29,2.84,11.59,0.76,25245.99,22000.57,0.76,87.0,3,43.33,2.9,66.0,2.5,84.0,2.8,63.0,2.8,75.0,3.0,61.0,3.5,46.0,3.1,62.0,70.0,3,93.19,135.0,2.636,0.1549778567318037,2.061971830985915,-0.6399999999999999,-0.1549778567318037,-2.061971830985915,-0.6023855088899045,Yes,Yes
Cyprus,Limassol,Western & Southern Europe,1359.31,1588.23,2051.8,2768.64,4.78,1.51,2773.05,1.02,231.58,6.24,9.31,1.27,1.13,35.54,4.09,4.16,6.15,11.64,9.31,1.66,4.66,4.51,2.07,1.65,4.285,10454.8,97.86,1.06,5.7,23.28,87.31,119.83,1.98,23.71,96.04,46.57,112.83,2.33,0.77,1.33,0.83,380.51,486.45,636.46,2.05,52.19,34.92,3.61,8.15,31.79,1.58,31373.69,34225.84,1.39,48.0,-4,107.31,3.2,51.0,2.9,56.0,2.8,63.0,3.1,47.0,3.2,53.0,3.5,46.0,3.4,41.0,49.0,1,155.71,68.0,1.933,1.3181875046913707,0.4777464788732393,-0.1599999999999994,-1.3181875046913707,-0.4777464788732393,-0.6548242976511961,Yes,Yes
Mexico,Playa del Carmen,Latin America,370.88,1049.51,1155.96,1743.42,0.66,1.35,743.11,0.65,87.56,5.59,10.23,1.56,1.14,30.47,3.84,3.98,4.38,4.89,12.48,1.58,4.55,2.43,1.93,1.44,4.17,4093.23,45.26,1.18,4.13,11.37,45.48,90.31,1.62,26.29,63.66,28.43,92.42,0.57,1.0,0.94,0.89,594.67,364.57,214.61,1.21,42.84,10.23,5.69,4.55,25.58,0.91,24902.41,22000.57,0.77,87.0,3,43.33,2.9,66.0,2.5,84.0,2.8,63.0,2.8,75.0,3.0,61.0,3.5,46.0,3.1,62.0,70.0,3,93.19,135.0,2.636,0.4195794864096213,2.061971830985915,-0.6399999999999999,-0.4195794864096213,-2.061971830985915,-0.7082261607610315,Yes,Yes
Mexico,Mexico City,Latin America,705.61,1153.08,1362.92,2566.39,0.65,1.4,1034.22,0.82,52.02,5.96,14.21,1.34,1.26,35.68,3.94,4.14,4.83,6.82,10.52,1.84,3.7,2.67,2.46,1.41,5.65,11164.11,72.9,1.52,4.98,11.37,52.59,123.55,1.81,27.27,54.25,20.47,112.8,0.34,0.98,1.02,0.98,203.23,340.2,462.28,1.75,52.04,5.74,0.73,1.48,30.42,0.87,25932.35,22000.57,0.83,87.0,3,43.33,2.9,66.0,2.5,84.0,2.8,63.0,2.8,75.0,3.0,61.0,3.5,46.0,3.1,62.0,70.0,3,93.19,135.0,2.636,0.5923386794105137,2.061971830985915,-0.6399999999999999,-0.5923386794105137,-2.061971830985915,-0.7773298379613885,Yes,Yes
